,roll_LH,pitch_LH,roll_RH,pitch_RH
41,53.51261419945609,-25.719439760080927,-48.86714407830651,-22.876849908880544
42,51.82582723418588,-24.26338668765401,-47.716256664983916,-22.832436278843883
43,50.691528771336074,-22.42271000982799,-66.48518443351016,-22.92472327104476
44,49.38356474131091,-20.606009182257203,-80.5133884784666,-22.988795708159678
45,63.16335139971181,-18.646157338842542,-90.52764132057516,-23.105724407601006
46,72.1193966210071,-17.10084827018137,-79.13053525303869,-23.30880555173696
47,64.80653676671717,-16.538453468916014,-72.05921343505159,-23.516443236973725
48,59.92822687682434,-17.089972586334643,-69.84621259166343,-23.7660846780188
49,56.32647905374767,-18.017214994042227,-71.06165113136838,-23.998768276528324
50,52.9470309248366,-18.77941189445902,-76.86978352809503,-24.233104504198256
51,49.797675055488114,-19.265893849779353,-87.23624592015972,-24.411980032900498
52,48.451962262728614,-19.30253148250176,-102.65218434497083,-24.56337945382463
53,48.07442922887567,-19.41529321052942,-97.29878801097954,-24.643252520006538
54,48.24664363453746,-20.077814078609805,-130.85109072868605,-24.77340270845428
55,48.549641842311054,-21.24719956242849,-135.09214715583707,-24.887633188927396
56,48.936571947246556,-22.30269225685805,-127.78334915543208,-24.664847599569764
57,50.2572212100325,-22.651476872178133,-108.25522181341566,-24.36832582778278
58,51.35159972759546,-23.283617531912437,-101.02192969773081,-24.417341847447393
59,50.728778443347565,-23.800205054288455,-91.0322487513217,-24.458192288892914
60,49.23133434599528,-24.10050923662692,-78.32515121335445,-24.51291540008108
61,49.457035084263794,-24.147706655161343,-64.12231406530654,-24.511792170947384
62,50.88877872924754,-23.992836718882813,-49.140010940143,-24.47215214292867
63,53.75795497878846,-24.0446623646506,-33.73510935682894,-24.45013706354648
64,57.808579140342275,-24.318465596588307,-0.9765876813445407,-24.427895366600946
65,62.769827024430604,-24.204103292385547,5.523357397412525,-24.4367135795241
66,69.32057081469554,-23.96439357870126,10.997885958863616,-24.413641563195355
67,77.81405796395646,-23.75443829230063,14.639839792995124,-24.349796795580577
68,87.72195930969677,-23.59294321510167,41.26887656882583,-24.192801898342054
69,101.5784722167123,-24.125825453249508,73.95607580956421,-24.096931540529926
70,97.53174696150447,-25.698748278766093,113.2116942382443,-24.06437960983263
71,88.58259187142151,-27.59268954970278,132.70171062820447,-24.085468178341863
72,92.070284511372,-28.859439527787796,149.4303038877176,-24.134881864116977
73,94.5506071943697,-28.874994316457215,162.79130954814158,-24.177523345470828
74,96.60828566647193,-28.231521453629192,171.61636626740838,-24.16688222575386
75,99.29257609105291,-27.82496241173799,174.98830548616104,-24.149860861663903
76,101.84751744558002,-27.527790868052826,172.42246496426333,-24.213520339614277
77,103.85231563490649,-27.773415267523127,163.19014014328798,-24.300425036647415
78,104.71046337024545,-28.15676625114956,146.7746004057056,-24.37992641823559
79,105.03165216718405,-28.474394437060784,148.6340037334774,-24.445881517761396
80,106.23594666794433,-29.24046895953044,150.9244322592472,-24.46113623446041
81,107.08940005497426,-29.20248552768228,153.8069044742977,-24.473766145648515
82,107.0127696750167,-28.285782234319182,157.33834381407914,-24.528989205197146
83,105.66794477795345,-27.35098205038544,161.5981830247676,-24.609255154566792
84,103.07246078900312,-27.343494275234498,166.73216622774072,-24.681827480018452
85,102.68489373677562,-27.92436333136327,172.52156807523895,-24.714592071558315
86,102.07417026893489,-28.275532982842456,178.84398909893315,-24.716706053692512
87,102.08148730333662,-28.631460898842278,185.8401665826849,-24.745179536665844
